"id","parentId","department"
"A2CF00505601289111E8FEE86207A36E","","ГК Спектрум"
"B85E00155D00230511EC16F4D040CAD8","A2CF00505601289111E8FEE86207A36E","Spectrum Digital"
"B85C00155D00230511EC0180CA6FF8B7","B85E00155D00230511EC16F4D040CAD8","Группа VDC менеджмента"
"A2CF00505601289111E8FEE7248FEED3","B85E00155D00230511EC16F4D040CAD8","Группа управления информационным моделированием"
"B85800155D00230511EBAE562D0D714C","B85E00155D00230511EC16F4D040CAD8","Направление численного моделирования и виртуальной реальности"
"A2CF00505601289111E8FEDD9C6DC115","A2CF00505601289111E8FEE86207A36E","Архитектурное бюро"
"B84600155D00230511EA7FC283701EAC","A2CF00505601289111E8FEE86207A36E","Аэропорты"
"B86C00155D00230511ED43E25E9884AD","B84600155D00230511EA7FC283701EAC","ГИПы (Аэропорты)"
"B86C00155D00230511ED43EA674B9982","B84600155D00230511EA7FC283701EAC","Группа архитекторов (Аэропорты)"
"B85E00155D00230511EC1B7241C55094","B84600155D00230511EA7FC283701EAC","Группа Аэродромы"
"B86C00155D00230511ED43E9E0980A43","B84600155D00230511EA7FC283701EAC","Проектный менеджмент (Аэропорты)"
"B85E00155D00230511EC1A1EC36B4EFE","B86C00155D00230511ED43E9E0980A43","Группа технологов (Аэропорты)"
"B85400155D00230511EB6F6BA002417F","A2CF00505601289111E8FEE86207A36E","БН ""ЕРСМ"""
"A2CF00505601289111E8FED27A8CAC6F","A2CF00505601289111E8FEE86207A36E","БН ""Консультирование"""
"B85800155D00230511EBC51FF02FA773","A2CF00505601289111E8FED27A8CAC6F","Группа финансово-технического мониторинга и аудита"
"A2CF00505601289111E8FED7CBDF1434","A2CF00505601289111E8FEE86207A36E","БН ""Проектирование"""
"B84600155D00230511EA83D5C1AE6941","A2CF00505601289111E8FED7CBDF1434","Архитектурная группа"
"A2CF00505601289111E8FEE5E14A32B6","B84600155D00230511EA83D5C1AE6941","Архитекторы (Москва)"
"A2CF00505601289111E8FEE5E14A32B7","B84600155D00230511EA83D5C1AE6941","Архитекторы (Новосибирск)"
"B84700155D00230511EAC0EBE55156B2","B84600155D00230511EA83D5C1AE6941","Архитекторы (Санкт-Петербург)"
"A2CF00505601289111E8FEE5923CEB98","B84600155D00230511EA83D5C1AE6941","ГАПы"
"A2CF00505601289111E8FEE59BDE34A7","B84600155D00230511EA83D5C1AE6941","ГАПы СПб"
"B84200155D00230511EA48B5E52A4AFE","B84600155D00230511EA83D5C1AE6941","Группа авторского надзора"
"A2CF00505601289111E8FEE5EC61CEC7","A2CF00505601289111E8FED7CBDF1434","Ассистенты"
"B84600155D00230511EA83082DAD47BE","A2CF00505601289111E8FED7CBDF1434","Группа инженерных систем"
"A2CF00505601289111E8FEE5A59290E6","B84600155D00230511EA83082DAD47BE","ГИПы"
"B84200155D00230511EA4CCF2D7DD63B","B84600155D00230511EA83082DAD47BE","Группа инженерных изысканий"
"A2CF00505601289111E8FEE6907CEF5D","B84600155D00230511EA83082DAD47BE","Инженеры ВК (Москва)"
"B84700155D00230511EAC02A004E1FA5","B84600155D00230511EA83082DAD47BE","Инженеры ВК (Новосибирск)"
"B84700155D00230511EAC02A2060149C","B84600155D00230511EA83082DAD47BE","Инженеры ВК (Санкт-Петербург)"
"A2CF00505601289111E8FEE69D2EA6EA","B84600155D00230511EA83082DAD47BE","Инженеры ОВиК (Москва)"
"B85800155D00230511EBC786EAA211AF","B84600155D00230511EA83082DAD47BE","Инженеры ОВиК (Новосибирск)"
"B85600155D00230511EB8D3F1316FAFA","B84600155D00230511EA83082DAD47BE","Инженеры ОВиК (Санкт-Петербург)"
"B85800155D00230511EBC86985EA2F43","B84600155D00230511EA83082DAD47BE","Инженеры ПБ и ПТ"
"A2CF00505601289111E8FEE65A3A4ACA","B85800155D00230511EBC86985EA2F43","Группа пожарной безопасности"
"B85800155D00230511EBC869DBE85055","B85800155D00230511EBC86985EA2F43","Группа систем противопожарной защиты"
"A2CF00505601289111E8FEE703634719","B84600155D00230511EA83082DAD47BE","Инженеры ССиА (Москва)"
"B85600155D00230511EB8BD4EF7B8F72","B84600155D00230511EA83082DAD47BE","Инженеры ССиА (Новосибирск)"
"B85700155D00230511EB8DF857DFE86A","B84600155D00230511EA83082DAD47BE","Инженеры ССиА (Санкт-Петербург)"
"A2CF00505601289111E8FEE6DE75C6C0","B84600155D00230511EA83082DAD47BE","Инженеры ЭС (Москва)"
"B84700155D00230511EAC0298CAA8F1C","B84600155D00230511EA83082DAD47BE","Инженеры ЭС (Новосибирск)"
"B84700155D00230511EAC029A29AC661","B84600155D00230511EA83082DAD47BE","Инженеры ЭС (Санкт-Петербург)"
"B85800155D00230511EBC86B561F1497","B84600155D00230511EA83082DAD47BE","Специалисты ГП (Москва)"
"B85800155D00230511EBC86B6B561D49","B84600155D00230511EA83082DAD47BE","Специалисты ГП (Новосибирск)"
"B85800155D00230511EBC86B5D758AA1","B84600155D00230511EA83082DAD47BE","Специалисты ГП (Санкт-Петербург)"
"A2CF00505601289111E8FEE6A87F801A","A2CF00505601289111E8FED7CBDF1434","Группа по проектированию объектов транспортной инфраструктуры"
"A2CF00505601289111E8FEE714E0E04F","A2CF00505601289111E8FED7CBDF1434","Группа по проектированию торговых и производственных объектов"
"B85400155D00230511EB7B355DC7FD8B","A2CF00505601289111E8FED7CBDF1434","Группа разработки РД"
